species,name_change,Split_species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Ploceus velatus,0,,Ploceus velatus,Passeriformes,LC,No,Volant,30.9,20.6,Shrubland,Herbivore,Omnivore,-23.17,,16.8,10.7,5.9,7.8,22,76.8,15.6,60.6,52.4,Not threatened
Ploceus vitellinus,0,,Ploceus vitellinus,Passeriformes,LC,No,Volant,20,18.8,Shrubland,Herbivore,Granivore,8.66,,15.6,10.3,5.5,7.4,18.5,68.2,12.9,55.4,47.9,Not threatened
Ploceus weynsi,0,,Ploceus weynsi,Passeriformes,LC,No,Volant,29,23.2,Forest,Omnivore,Omnivore,-0.12,,19,12.7,6,6.7,18.8,78.2,18.1,60.1,51.2,Not threatened
Ploceus xanthops,0,,Ploceus xanthops,Passeriformes,LC,No,Volant,40.6,18.2,Shrubland,Herbivore,Omnivore,-13.11,,20.6,13.2,6.9,9,25.4,88.4,15.9,71.8,66.6,Not threatened
Ploceus xanthopterus,0,,Ploceus xanthopterus,Passeriformes,LC,No,Volant,22,15.7,Wetland,Herbivore,Omnivore,-17.48,,17.8,11.4,5.7,7.2,20.8,68,10.5,56.2,47.2,Not threatened
Pluvialis apricaria,0,,Pluvialis apricaria,Charadriiformes,LC,No,Volant,214,57.4,Grassland,Carnivore,Invertivore,65.53,,25,14.8,3.7,4.9,38,181.2,104.2,77.2,70.2,Not threatened
Pluvialis dominica,0,,Pluvialis dominica,Charadriiformes,LC,No,Volant,151.5,58.7,Grassland,Carnivore,Invertivore,66.9,,26.3,15.6,3.8,5.1,39.9,181.8,109.4,77.2,65.8,Not threatened
Pluvialis fulva,0,,Pluvialis fulva,Charadriiformes,LC,No,Volant,134.9,59.3,Grassland,Carnivore,Omnivore,69.46,,25.2,15.2,4.2,5.2,40.2,159,94.8,65,58.4,Not threatened
Pluvialis squatarola,0,,Pluvialis squatarola,Charadriiformes,LC,No,Volant,250,60.1,Grassland,Carnivore,Aquatic predator,70.21,,32,19.2,5.1,7,44.5,184.4,110,73.2,71.4,Not threatened
Pluvianellus socialis,0,,Pluvianellus socialis,Charadriiformes,NT,No,Volant,84.1,51.9,Coastal,Carnivore,Aquatic predator,-51.29,,17.3,11,3,3.4,19.8,135.7,70.8,65.7,58.4,Not threatened
Pluvianus aegyptius,0,,Pluvianus aegyptius,Charadriiformes,LC,No,Volant,82,39.2,Wetland,Carnivore,Aquatic predator,8.6,,22.8,12.8,4.7,5.8,34.4,129.9,51.9,80.6,58,Not threatened
Pnoepyga albiventer,0,,Pnoepyga albiventer,Passeriformes,LC,No,Volant,20.9,6.4,Forest,Omnivore,Invertivore,27.93,,12.9,7.2,2.6,3.1,23.3,61.5,4,57.5,26.2,Not threatened
Pnoepyga formosana,0,,Pnoepyga formosana,Passeriformes,LC,No,Volant,20.9,13.9,Forest,Omnivore,Invertivore,23.71,,12.9,7.2,2.4,3.1,21,53.2,7.4,45.9,15,Not threatened
Pnoepyga immaculata,0,,Pnoepyga immaculata,Passeriformes,LC,No,Volant,20.5,8.7,Forest,Carnivore,Invertivore,29.17,,12.6,7.4,2.4,3,21.8,55.8,4.8,50.9,14.8,Not threatened
