IUCN_name,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Diet_Invertebrates,Diet_Vertebrates.ectotherms,Diet_Scavenger,Diet_Seed,Diet_Plant,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Artificial,Cropland,Grassland,Forest,Sparse.vegetation,Water.bodies,Habitat_breadth,Population.density_IndKm2,risk_category
Priodontes maximus,12,2.333333333,54,1827,-17.952576,-48.076082,Brazil,0.007399299,0.009574693,45.19,3.19,14,320,1,90,0,0,0,0,Nocturnal,1.5,1.28554166666667,2,0,1,1,1,1,0,6,1.6,low
Procyon cancrivorus,16,1.75,130,304,-20.675583,-43.349806,Brazil,0.00923583,0.011951164,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,low
Procyon cancrivorus,4,7,90,610,-25.54553,-48.78396,Brazil,0.059836066,0.087181148,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,medium
Procyon cancrivorus,4,7,216,538,-16.575593,-50.261,Brazil,0.021986438,0.03203424,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,medium
Procyon cancrivorus,12,2.333333333,36,730,-1.005806,-46.774428,Brazil,0.291666667,0.377416667,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,high
Procyon cancrivorus,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.208333333,0.303541666,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,high
Procyon cancrivorus,8,3.5,29,365,-30.117957,-53.619222,Brazil,0.24137931,0.351689655,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,high
Procyon cancrivorus,4,7,45,366,-30.347781,-53.998679,Brazil,0.132969035,0.193735884,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,high
Procyon cancrivorus,8,3.5,130,426,-7.167969,-35.367968,Brazil,0.019772481,0.028808505,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,low
Procyon cancrivorus,4,7,192,365,-19.278735,-48.122972,Brazil,0.104166667,0.151770834,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,high
Procyon cancrivorus,20,1.4,36,183,-10.675567,-62.208069,Brazil,0.055403764,0.066262902,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,medium
Procyon cancrivorus,4,7,115,365,-11.904988,-48.737133,Brazil,0.034782609,0.050678261,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,medium
Procyon cancrivorus,56,0.5,34,1461,-25.753,-54.54,Argentina,0.264524701,0.264524701,6.93172,5.57,16.48333333,498.185,1,50,10,0,10,0,Nocturnal,2.685,1,5,0,0,1,1,1,0,6,21.5659999206349,high
