"IUCN_name","Frequency_month","Survey_interval_days","Road_length_km","Survey_period_days","Latitude","Longitude","Country","Roadkill_rate_ind_km_y","Roadkillrate_corrected","AdultBodyMass_g_median","Home_range_Km2","longevity_y","Ageofmaturity_d","SocialGrpSize","Diet_Invertebrates","Diet_Vertebrates.ectotherms","Diet_Scavenger","Diet_Seed","Diet_Plant","Activity_1Diurnal_2Nocturnal","Litter_clutch_size","Litters_or_clutches_per_y","Diet_breadth","Artificial","Cropland","Grassland","Forest","Sparse.vegetation","Water.bodies","Habitat_breadth","Population.density_IndKm2"
"Chrysocyon brachyurus",4,7,115,365,-11.904988,-48.737133,"Brazil",0.008695652,0.012669565,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Chrysocyon brachyurus",40,0.7,12,488,-22.246302,-47.839529,"Brazil",0.12465847,0.12465847,23.24984,21.36,15.66666667,730,3.54878571428571,"10","20","0","0","10","Nocturnal",2.5,1,5,"0","1","1","0","1","0",6,24.213699125
"Coendou insidiosus",28,1,180.4,1126,-22.307184,-43.130266,"Brazil",0.025156254,0.035294224,0.99832,0.74640074,1.416666667,576.58582688,1.44169047619048,"0","0","0","0","70","Nocturnal",0.97,1.11,2,"0","0","0","1","0","0",1,170.9351
"Coendou insidiosus",672,0.041666667,57.5,1765,-20.580677,-40.417217,"Brazil",0.057544033,0.057544033,0.99832,0.74640074,1.416666667,576.58582688,1.44169047619048,"0","0","0","0","70","Nocturnal",0.97,1.11,2,"0","0","0","1","0","0",1,170.9351
"Coendou prehensilis",4,7,192,365,-19.278735,-48.122972,"Brazil",0.015625,0.022765625,4.1162,0.14,17.31666667,578.284,1,"0","0","0","0","70","Nocturnal",0.99,1.11,2,"0","0","0","1","0","0",1,70.054593
"Coendou prehensilis",8,3.5,178.8,91,9.017987,-73.633823,"Colombia",0.067298473,0.098053875,4.1162,0.14,17.31666667,578.284,1,"0","0","0","0","70","Nocturnal",0.99,1.11,2,"0","0","0","1","0","0",1,70.054593
"Coendou prehensilis",8,3.5,55,366,-18.232298,-50.431983,"Brazil",0.036264282,0.052837059,4.1162,0.14,17.31666667,578.284,1,"0","0","0","0","70","Nocturnal",0.99,1.11,2,"0","0","0","1","0","0",1,70.054593
"Coendou prehensilis",4,7,96,365,-19.36333333,-48.07916667,"Brazil",0.03125,0.04553125,4.1162,0.14,17.31666667,578.284,1,"0","0","0","0","70","Nocturnal",0.99,1.11,2,"0","0","0","1","0","0",1,70.054593
"Coendou prehensilis",4,7,216,538,-16.575593,-50.261,"Brazil",0.050254716,0.073221121,4.1162,0.14,17.31666667,578.284,1,"0","0","0","0","70","Nocturnal",0.99,1.11,2,"0","0","0","1","0","0",1,70.054593
"Coendou prehensilis",8.33,3.361344538,107,90,4.390395,-73.297052,"Colombia",0.265316719,0.38656646,4.1162,0.14,17.31666667,578.284,1,"0","0","0","0","70","Nocturnal",0.99,1.11,2,"0","0","0","1","0","0",1,70.054593
